0,1,7
0,6,7
1,0,7
1,2,7
1,7,9
2,1,7
2,3,7
2,8,9
3,2,7
3,4,7
3,9,9
4,3,7
4,5,7
4,10,7
5,4,7
5,11,7
6,0,7
6,7,7
6,12,7
7,1,9
7,8,7
7,13,9
7,6,7
8,2,9
8,9,7
8,14,9
8,7,7
9,3,9
9,10,7
9,15,9
9,8,7
10,4,7
10,11,7
10,16,7
10,9,7
11,5,7
11,17,7
11,10,7
12,6,7
12,13,7
12,18,7
13,7,9
13,14,7
13,19,9
13,12,7
14,8,9
14,15,7
14,20,9
14,13,7
15,9,9
15,16,7
15,21,9
15,14,7
16,10,7
16,17,7
16,22,7
16,15,7
17,11,7
17,23,7
17,16,7
18,12,7
18,19,7
18,24,7
19,13,9
19,20,7
19,25,9
19,18,7
20,14,9
20,21,7
20,26,9
20,19,7
21,15,9
21,22,7
21,27,9
21,20,7
22,16,7
22,23,7
22,28,7
22,21,7
23,17,7
23,29,7
23,22,7
24,18,7
24,25,12
24,30,7
25,19,9
25,26,12
25,31,9
25,24,12
26,20,9
26,27,12
26,32,9
26,25,12
27,21,9
27,28,12
27,33,9
27,26,12
28,22,7
28,29,12
28,34,7
28,27,12
29,23,7
29,35,7
29,28,12
30,24,7
30,31,7
31,25,9
31,32,7
31,30,7
32,26,9
32,33,7
32,31,7
33,27,9
33,34,7
33,32,7
34,28,7
34,35,7
34,33,7
35,29,7
35,34,7
