0,1,5
0,6,5
1,0,5
1,2,5
1,7,7
2,1,5
2,3,5
2,8,7
3,2,5
3,4,5
3,9,7
4,3,5
4,5,5
4,10,5
5,4,5
5,11,5
6,0,5
6,7,5
6,12,5
7,1,7
7,8,5
7,13,7
7,6,5
8,2,7
8,9,5
8,14,7
8,7,5
9,3,7
9,10,5
9,15,7
9,8,5
10,4,5
10,11,5
10,16,5
10,9,5
11,5,5
11,17,5
11,10,5
12,6,5
12,13,5
12,18,5
13,7,7
13,14,5
13,19,7
13,12,5
14,8,7
14,15,5
14,20,7
14,13,5
15,9,7
15,16,5
15,21,7
15,14,5
16,10,5
16,17,5
16,22,5
16,15,5
17,11,5
17,23,5
17,16,5
18,12,5
18,19,5
18,24,5
19,13,7
19,20,5
19,25,7
19,18,5
20,14,7
20,21,5
20,26,7
20,19,5
21,15,7
21,22,5
21,27,7
21,20,5
22,16,5
22,23,5
22,28,5
22,21,5
23,17,5
23,29,5
23,22,5
24,18,5
24,25,10
24,30,5
25,19,7
25,26,10
25,31,7
25,24,10
26,20,7
26,27,10
26,32,7
26,25,10
27,21,7
27,28,10
27,33,7
27,26,10
28,22,5
28,29,10
28,34,5
28,27,10
29,23,5
29,35,5
29,28,10
30,24,5
30,31,5
31,25,7
31,32,5
31,30,5
32,26,7
32,33,5
32,31,5
33,27,7
33,34,5
33,32,5
34,28,5
34,35,5
34,33,5
35,29,5
35,34,5
